"1": "νιώθω μία ευχαρίστηση",
"29": "μπορείς να αξιοποιήσεις τις ποικίλες και πολύμορφες δυνατότητες που σου δίνει η Αθήνα , προκειμένου να διευρύνεις τους ορίζοντές σου και να έχεις τη μέγιστη συγκινησιακή , ιστορική, πολιτισμική εμπειρία", 
"30": "δεν ξέρω τι θέλω, μάλλον ειμαι αναποφάσιστος", 
"31": "είμαι έκπληκτος από το πόσο διαφορετικά είναι τα πράγματα", 
"32": "Το έργο Δρο΅έας του Κώστα Βαρώτσου κατασκευάστηκε για την πλατεία Ο΅ονοίας, όπου και τοποθετήθηκε το 1988. Η αρχική εκδοχή περιλα΅βάνει ΅ια σύνθεση από θραύσ΅ατα γυαλιού που αλληλεπιδρούν ΅ε το φυσικό και το τεχνητό φως αλλά και ΅ε το νερό, ΅ια εκδοχή που υποστηρίχθηκε για ΅ικρό χρονικό διάστη΅α. Αποτελώντας το πρώτο δη΅όσιο έργο σύγχρονης τέχνης στην Αθήνα πυροδότησε σειρά συζητήσεων και διαφωνιών", 
"33": "με απασχόλησε η διαμόρφωση της συλλογικής μνήμης", 
"34": "αποτελείται από έργα λιτά μα φορτισμένα από τον αγώνα του ανθρώπου να ισορροπήσει επάνω στις εντάσεις που δημιουργούνται όταν ο ίδιος βρίσκεται στο μέσο αντίθετων μεταξύ τους δυνάμεων, όπως ελαφρότητα και βαρύτητα, επιθετικότητα και συμπόνια, σκληρότητα και ομορφιά", 
"35": "ο άνθρωπος μπορεί να επανατοποθετηθεί μέσα από τα βιώματά του είτε αυτά είναι θετικά είτε αρνητικά", 
"36": "καθώς επίσης και από τις ωδίνες της ιστορίας του", 
"37": "ο θεατής οδηγείται σε μία νιρβάνα ", 
"38": "η θεατής μεταφέρεται σε μία παραισθησιακή κατάσταση έκστασης, γεμάτη από στροβιλιζόμενες συγκεχιμενες μνημες και συναισθηματα χαρμολυπης", 
"39": "ενορχηστρώνει όλη την ιστορία της ντόπιας γκασταρμπάιτερ μετανάστευσης σε μία λιτή και σπαραχτική εγκατάσταση", 
"40": "ακέφαλες φιγούρες αναμένουν καρτερικα ", 
"41": "το έργο αναπαριστά την σύγχρονη κοινωνική καταπίεση και την επιβολλή της κυρίαρχης κανονικότητας ", 
"42": "πάραυτα η αθήνα παραμένει υπέροχη", 
"43": "μουσείο ακρόπολης: must see", 
"44": "αν μπορουσα να το βαθμολογήσω , θα του έβαζα άριστα", 
"45": "ένα από τα πιο σημαντικά μέρη για τον επισκέπτη , de facto είναι το μουσείο της ακρόπολης", 
"46": "άλλοι θεωρούν κλισέ την αναφορά στα αρχαια της αθηνας", 
"47": "υπαρχουν τοσες και τοσες περιοχες, τόσα και τόσα μερη και εκθέσεις και μουσεία και βιβλιοθήκες και δρώμενα να δεις αλλά δυστυχώς δεν παρουσιάζονται όπως θα έπρεπε. Μάλλον δεν εμπίπτουν στο cultural fit της σύγρονης κοινωνικής δόμησης που ως επί το πλείστον αποτελείται από ατομικιστικά αμόρφωτα ανθρωπάρια", 
"48": "Η μετάφραση αυτού του τοπίου στη στιβαρή ακινησία των αντικειμένων της καλλιτεχνικής δημιουργίας και στην μετεξέλιξή της ως ρευστή, αισθησιακή εμπειρία του μέσου παρατηρητή", 
"49": "υπάρχει ανάγκη για αναθεώρηση του έργου το καλλιτέχνη. Έμεινα έκπληκτη όταν διαπίστωσα την στασιμότητα ", 
"50": "αρμονία και χαρά", 
"51": "συγκίνηση", 
"52": "η βρώμα με κάνει έξαλλη, θέλω να τα σπάσω όλα! είναι ένα βασανιστήριο", 
"53": "η άθλια και ακαλαίσθητη αρχιτεκτονική του μπετόν", 
"54": "πολυκατοικίες κλουβιά ", 
"55": "κλούβες κλουβιά και κλούβια ιδανικά", 
"56": "γελοιότητες", 
"57": "καραγκιοζιλίκια", 
"58": "γέλασα πολύ", "59": "τι μαλακία είναι αυτό που βλέπω;", 
"60": "παντελή έλλειψη σοβαρότητας", 
"61": "ασόβαρος", 
"62": "αισθάνομαι χάλια που πρέπει να βλέπω καθημερινά τη φάτσα της ξυνής", 
"63": "ο ξυνός ο άνθρωπος παραμένει ξυνός", 
"64": "μεταφερόμενοι από τον ένα σταθμό στον άλλο, βιώσαμε μία ευχάριστηση έκπληξη: κάθε σταθμός φιλοξενεί και διαφορετικά έργα τέχνης!", 
"65": "αυτό αποτελεί πραγματική ποιοτική αναβάθμιση για την πολη της αθηνας", 
"66": "eimai xaroumeni gia tin empeiria mou sto xwto auto", 
"67": "see you next time!!!!!!", 
"68": "very grateful for everything that we have been experienced", 
"69": "ευγνώμων είναι η λέξη που θα χρησιμοποιήσω για να περιγράψω τα όσα έζησα στην αθήνα", 
"70": "Παρότι είχα στην διάθεση μου λίγες ώρες κατάφερα να δω τα περισσότερα , αν όχι όλα, τα αξιοθέατα της Αθήνας ακούγοντας πληροφορίες για το καθένα από αυτά. Η διαδρομή ήταν πολύ ευχάριστη και χωρίς αμφιβολία έμεινα ικανοποιημένη. Πιστεύω ότι αξίζει μια βόλτα με τα λεωφορεία", 
"71": "Πρέπει να επισκεφτείτε και να γνωρίσετε την πόλη μέσω αυτών των λεωφορείων ! Είδα μέρη και διαφορα αλλά σημεία της πόλης που δεν θα τα είχα δει από μόνη μου ! Η εξυπηρέτηση ήταν άψογη τόσο από τα παιδιά όσο και από τους οδηγούς", 
"72": "Να το συμπεριλάβετε οπωσδήποτε στα must που πρέπει να κάνετε όταν θα επισκεφτείτε την Αθήνα!!! Πρώτη φορά μπήκαμε διστακτικά κ κάναμε το γύρο της Αθήνας....στο τέλος κατεβήκαμε ενθουσιασμένοι!!! Μέσα σε λίγη ώρα γυρίσαμε τα πιο δημοφιλή μέρη της πρωτεύουσας, δίνοντας σου πληροφορίες για όλα κ έχοντας επιλογή να κατέβεις να επισκεφτείς την περιοχή κ να πάρεις το επόμενο με το ίδιο εισιτήριο. Την επόμενη μέρα με το ίδιο εισιτήριο (ισχύει για 48 ωρες) επισκεφτήκαμε τον Πειραιά.... Ένας πολύ έξυπνος κ οικονομικός τρόπος να τριγυρίσεις Αθήνα κ Πειραιά.... το προσωπικό ευγενεστατο κ εξυπηρετικο!!!! Μια ελληνική κ πολύ χρήσιμη εταιρία που θα σας διευκολυνει πολύ.", 
"73": "Πολύ όμορφη η διαδρομή ", 
"74": "Επιτέλους μετά από καιρό είδα κάτι όμορφο στη πλατεία Ομονοίας!!!Νομίζω πως αν καταφέρουν και ανοίξουν όλα τα γύρω ξενοδοχεία θα αλλάξει ακόμα πιο πολύ η εικόνα της!!!Είναι μια αρχή το συντριβάνι....αναμένουμε και άλλες όμορφες εξίσου αλλαγές", 
"75": "Μαύρα χάλια θα ήταν μια περιεκτική πλην ακριβέστατη προσέγγιση της... κατάντιας της...", 
"76": "Ουσιαστικά είναι ένα απέραντο εργοτάξιο... διαρκείας, ένα ισχνό φάντασμα της πάλαι πότε αξιοπρόσεχτης υπόστασής της.", 
"77": "Ένα ακραιφνές δείγμα νεοελληνικής \"αισθητικής\", αβελτηρίας και ωχαδελφισμού...", 
"78": "Και δεν βλέπω κάποια βελτιωτική προοπτική στο... απώτατο μέλλον...", 
"79": "Κέντρο των Αθηνών, με πλούσια ιστορία σε μία άλλη ξεχασμένη εποχή και όμορφη κάποτε...με γκαζόν, το συντριβάνι και το Δρομέα... πλέον, τώρα, άσχημη αισθητικά, τσιμεντοποιημένη, απωθητική και καταθλιπτική. ", 
"80": "Πρέπει να έχουμε προσπαθήσει πάρα πολύ για να τη φέρουμε σε αυτή την κατάσταση άχρωμη και αδιάφορη.", 
"81": "ένα μαγευτικό ταξίδι στον κόσμο της ιστορίας της γεύσης της μουσικής των πολιτιστικών δρώμενων", 
"82": "Από παλιά ήταν ένας από τους πλέον δύσκολους να κυκλοφορήσεις δρόμους και δεν έχει αλλάξει πολύ. Έχουν γίνει κάποιες βελτιώσεις βέβαια, αλλά χωρίς να αλλάξει ιδιαίτερα η άσχημη εικόνα του.", 
"83": "Έχει τη φήμη του δρόμου με τη πολλή κίνηση, τα τελευταία χρόνια στην Ομόνοια και στον Πειραιά έχουν αλλάξει σε κάποια τμήματα την ροή των αυτοκινήτων με μικρή βελτίωση στη κυκλοφορία.", 
"84": "Τα χαλια μας τα μαυρα....ενωνει την αθηνα με τον πειραια...περναει απο αθλιες, φτωχες, απεριποιητες περιοχες μεχρι να φτασει στο χειροτερο μερος της αθηνας που λεγεται ομονοια...λυση αναγκης για την καθημερινη μας μετακινηση...", 
"85": "Δυστυχώς ένας από τους πιο άσχημους δρόμους της Αθήνας. Συνήθως έχει κίνηση. Περνάει από περιοχές που δεν φημίζονται για την αρχιτεκτονική τους. Καλό είναι εάν μπορείτε να την αποφύγετε.", 
"86": "Νυχτερινή ζωή στο μέγιστο για όλα τα γούστα και τα πορτοφόλια. Για χορό, για ποτά, για φαγητό και ζωντανές συναυλίες ή θέατρα! Το λατρεύω.", 
"87": "Πρόκειται για ένα μακρύ δρόμο κυρίως κατά μήκος της ακτής της θάλασσας. Πολλά εστιατόρια μπαρ και καφετέριες κατά μήκος του δρόμου. Υπάρχουν περιοχές που μπορείτε να σταματήσετε το αυτοκίνητο και να απολαύσετε την παραλία.", 
"88": "Η Αθήνα είναι γνωστό για τις μικρές, συμφόρηση στους δρόμους, και αυτό θα σας εκπλήξει. Είναι τόσο διαφορετική! . Είναι ευρύτερη και δέντρα και έχει πολλές καφετέριες και εστιατόρια καθώς και δεκάδες μεγάλα καταστήματα πολλών περιγραφές.", 
"89": "Η Πειραιώς είναι τόσο διαφορετικό από τα υπόλοιπα του πολιτισμού και της ιστορίας προσανατολισμένη Αθήνα. Είναι ένα πολύ μακρύ δρόμο περιπάτου κοντά στην ακτή, εξαιρετικά γοητευτικό, με πολλά μικρά μπαρ, καφετέριες και εστιατόρια. Θα σας μεταφέρει στην ατμόσφαιρα από τα πιο γνωστά θέρετρα. . .", 
"90": "Μόνο καλά λόγια μπορεί να πει κάποιος για το μουσείο ακρόπολης, για ένα τόσο εξαίρετο μουσείο με φυσικά άπειρη ιστορία μέσα του. Πολύ καθαρό και περιποιημένο και φυσικά όρεξη για ιστορία να έχεις και μπορείς άνετα μια μέρα να κάθεσαι μέσα.", 
"91": "Κόσμημα για την Αθήνα και για όλη την Ευρώπη .Σπάνιοι θησαυροί της Αρχαίας Ελλάδας με φόντο τον Ιερό Βράχο. Μοναδικό!!", 
"92": "Εξαιρετικό!!", 
"93": "Όλοι πρέπει να το επισκεφθούν!!", 
"94": "μουσείο ακρόπολης Μοναδική θέση ακριβώς απέναντι από τον ιερό βράχο. Εκπληκτικά εκθέματα. Πολύ εύκολη πρόσβαση με τα μέσα ", 
"95": "Νυχτερινή ζωή με διαφορα μαγαζιά κυρίως club για νεολαία πολύς κόσμος και σίγουρα όχι ποιοτικός κόσμος! ’ξιζε να επισκεφτείς αν θέλεις θόρυβο και clubbing μέχρι το πρωί! ", 
"96": "Τεχνόπολη: Επισκεφθηκαμε το Christmas factory 4-1-2020 και ήταν η απόλυτη απογοήτευση! Μας έβλεπαν σαν κινούμενα πορτοφολια! Δωσαμε 20 ευρώ τιμή προσφοράς για 4 άτομα και δεν περιελάμβανε τίποτα! !! Ούτε καν βόλτα με το τρενακι. Και δε φτάνει αυτό, στα παιχνίδια που ήταν υποχρεωτικό να συνοδεύσει ενηλικας το παιδί λόγω ηλικίας έπρεπε να πληρώνει και ο συνοδός! !! Τέρμα παράλογο! Χίλιες φορές σε απλό λουνα παρκ που δεν πληρωνεις εισοδο! Ποτέ ξανά!", 
"97": "Τεχνόπολη: Εξαιρετικό μέρος για να απολαύσεις συναυλίες. Συγχαρητήρια στο δήμο Αθήνας για την πολύ ωραία και άκρως ικανοποιητική χρησιμοποίηση του χώρου.", 
"98": "Η Τεχνόπολη του Δήμου Αθηναίων είναι ένας εξαιρετικά όμορφος χώρος που στεγάζεται στα κτήρια της παλιάς εταιρείας φωταερίου των Αθηνών. Χρησιμοποιείται συχνά για τη διοργάνωση εκδηλώσεων και συνεδρίων, καθώς διαθέτει μερικές εξαιρετικά προσεγμένες αίθουσες και ένα πολύ όμορφο αμφιθέατρο. Επίσης, στα καφέ και εστιατόρια μπορεί κάποιος να απολαύσει το φαγητό ή τον καφέ του. Προτείνεται ανεπιφύλακτα η επίσκεψη εκεί!", 
"99": "Η Τεχνόπολη Ενας μεγαλος χωρος ο οποιος φιλοξενει διαφορες εκδηλωσεις ολων των ειδων καποιες απο τις οποιες ειναι πραγματικα τραγικες και καποιες καπως καλυτερες. Αποκορυφωμα η τραγικη χριστουγεννιατικη αποτυχια και κοροιδια . Μια κακη και βαρετη απομιμηση που και οι ιδιοι δεν ξερω αν ηθελαν να ειναι εκει.", 
"100": "Αλλες εκδηλωσεις που φιλοξενει ειναι καπως καλυτερες αλλα και αυτες αποτυχια και κοροιδια αν σκεφτει κανεις οτι πλασαρονται και διαφημιζονται καμια μα καμια σχεση με αυτο που προσφερουν αν προσφερουν κατι.", 
"101": "Θελει οργανωση και ο χωρος. Το οτι ειναι πολλα διαφορετικα μικρα κτηρια και οχι ενα κτηριο με συνοχη δεν ειναι ενδιαφερον.", 
"102": "Η τεχνοπολη ειναι Ένας χώρος τέχνης και πολιτισμού. Industrial αισθητική καθότι παλαιό εργοστάσιο, είναι πολύ όμορφο και παραδόξως για Ελλάδα πολύ καθαρό! Αξίζει κάποιος να το επισκεφτεί ειδικά αν έχει κάποια εκδήλωση.", 
"103": "μια θλίψη", 
"104": "κατάντια", 
"105": "μα είναι τελείως καταθλιπτικό αυτό το τοπίο", 
"106": "βαρέθηκα", 
"107": "βαρετίλα", 
"108": "Η τεχνοπολη του δημου αθηναιων ειναι Καλαισθητος χωρος,καθαρος και τακτοποιημενος ο οποιος φιλοξενει πολλες δραστηριοτητες διαφορων κατηγοριων.Ειναι αξιος επισκεψης οταν βρεθειτε στην Αθηνα.", 
"109": "δημιουργία και διασκέδαση", 
"110": "συννεφιασμενη κυριακη", 
"111": "βαρεμαρα ξανα και ξανα", 
"112": "η τεχνοπολη του δημου αθηναιων Στεγάζεται στο παλιό εργοστάσιο φωταερίου της Αθήνας, ένα σπάνιο βιομηχανικό μνημείο, που έχει μεταμορφωθεί στον πιο ζωντανό πολυχώρο πολιτισμού στην καρδιά της πόλης. Πολλές και ποικίλες οι δράσεις του όπως συναυλίες, εκθέσεις, προβολές, εκπαιδευτικά προγράμματα κ.α. Επισκεφτήκαμε το Christmas Factory πριν από λίγες μέρες με τα πιτσιρίκια, και ενθουσιάστηκαν. Δε μπορούσαμε να τα ξεκολλήσουμε από τα παιχνίδια. Πολλοί και ενδιαφέροντες χώροι και για τους μεγάλους. Αυτό είναι και το συναρπαστικό του πολυχώρου. Οι πολλές δράσεις, όπως το εξαιρετικό Athens Jazz Festival το καλοκαίρι.", 
"113": "ιστορικής σημασιας πολη", 
"114": "δεν σε αλλάζω με τίποτα", 
"115": "για πόσο ακόμα χρειάζεται να πληκτρολογώ χαζές απαντήσεις; κουράστηκα", 
"116": "ντροπή! πανάκριβα τα πάντα!", 
"117": "Μην ασχοληθείτε.", 
"118": "Δεν μπορείτε να βάλετε κάπου στη λίστα για να δείτε τα πράγματα. Ο εγγονός μου είχε ακούσει γι' αυτό και θέλαμε να πάμε, οπότε μετά από ένα περίπατο ένα μακρύ δρόμο, το βρήκαμε. Μοιάζει να είναι απλώς ένα βιομηχανικό χώρο. Δεν θα μπορούσαμε να βρούμε έναν τρόπο στο εσωτερικό και όλα έγιναν πολύ σκληρά. Εκτός αν υπάρχει κάτι συγκεκριμένο για να δείτε, μην ασχοληθείτε.", 
"119": "ακαδημιας Δεν περιγράφεται το δέος που αισθάνεσαι όταν βρίσκεσαι ενώπιον της επιβλητικής και πανέμορφης αρχιτεκτονικής του χώρου. ", 
"120": "ακαδημίας Ανηφορίζοντας από Ομόνοια προς Σύνταγμα,στη μέση της διαδρομής αριστερά του δρόμου,ξεπροβάλλει το Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών.Το Πανεπιστήμιο Αθηνών είναι το αρχαιότερο Ανώτατο Εκπαιδευτικό Ίδρυμα της σύγχρονης Ελλάδας και συνεισφέρει σημαντικά στο εκπαιδευτικό", 
"121": "οδος ακαδημιας", 
"122": "χωρος αρχαιολογικου ενδιαφεροντος η ακαδημια αθηνων", 
"123": "Η Ακαδημία είναι μια από τις κεντρικότερες περιοχές της Αθήνας. Βρίσκεται στο κέντρο της πόλης πολύ κοντά στην πλατεία Ομόνοια. Tο νεοκλασικό μέγαρο στο κέντρο της Αθήνας το οποίο στεγάζει την Ακαδημία Αθηνών, χτίστηκε αρκετές δεκαετίες πριν από την ίδρυση της ίδιας της Ακαδημίας.", 
"124": "Το κτήριο σχεδιάστηκε το 1859, τρία χρόνια μετά την δωρεά του Σίνα, από τον Δανό αρχιτέκτονα Θεόφιλο Χάνσεν, είναι πνευματικό ίδρυμα με στόχο την καλλιέργεια και την προαγωγή των Επιστημών, των Γραμμάτων και των Καλών Τεχνών, καθώς και την επιστημονική έρευνα και μελέτη. Προβαίνει στην μελέτη και την έρευνα των προϊόντων και των στοιχείων της φύσης της χώρας, καθώς και την επιστημονική υποστήριξη και ενίσχυση της γεωργίας, της βιομηχανίας και της ναυτιλίας.Το τρίπτυχο Ακαδημία, Βιβλιοθήκη και Πανεπιστήμιο, αποτελεί ένα τεράστιας αισθητικής και καλλιτεχνικής αξίας, που κοσμεί το κέντρο της πόλης των Αθηνών.Αξίζει μια επίσκεψη εκεί, ακόμα και για να απολαύσετε στη συνέχεια ένα από τα υπέροχα καφέ της περιοχής.", 
"125": "Από τα κορυφαία νεοκλασικά αρχιτεκτονήματα της Αθήνας. Μαζί με τη Βιβλιοθήκη και το Πανεπιστήμιο, έχουμε ένα τρίπτυχο τεράστιας αισθητικής και καλλιτεχνικής αξίας, που κοσμεί το κέντρο της πόλης και του δίνει μια αδιαμφισβήτητη υπόσταση. ", 
"126": "πανεπιστημιο αθηνων Είναι ένα ωραίο κτίριο και όλα αλλά αυτό είναι όλο. Μπορείτε να πάτε εκεί, μπορείτε να πάρετε μια εικόνα και τα πόδια. Δεν υπάρχει καμία ιστορία για αυτό το \"ορόσημο\".", 
"127": "μετρώ Παρουσιάζεται ένας ιδιότυπος γαλαξίας από διάσπαρτους εκκρεμείς λίθους. Πέτρες από φυσικό υλικό και γυαλί σε ακανόνιστο ύψος διακοσμούν την οροφή του κεντρικού χώρου του σταθμού.", 
"128": "", 
"129": "Ο καλλιτέχνης λειτουργεί με σεβασμό ως προς την παραδοσιακή αρχιτεκτονική, αλλά ταυτόχρονα δηλώνει και την υπογραφή του.", 
"130": "άφιξη Ιταλία ¨: Η παρουσία και η απουσία, η ύλη και ο χώρος, ο άνεμος και το κύμα ορίζουν τη νέα δουλειά του καλλιτέχνη. Πρόκειται για μια πλαστική ιστορία, που μέσα στον χρόνο αντανακλά την άρρηκτη συνοχή του οραματικού κόσμου. Στην έκθεση που πραγματοποιείται στο Ίδρυμα Θεοχαράκη, παρουσιάζονται μνημειακά έργα της πρόσφατης δουλειάς του καλλιτέχνη. Μαρτυρούν τη συνεχή πάλη του δημιουργού με την ευθραυστότητα του γυαλιού, αλλά και του φωτός", 
"131": "Μένει ακόμα να διευκρινισθεί από την Τέχνη κατά πόσον το εν λόγω γλυπτό έχει υπερτιμηθεί, όπως άλλα ανάλογα έργα του μετα-μοντερνισμού.", 
"132": "stop"
"133": "η διαμονή μας στην πόλη της αθήνας ήταν πάρα πολύ ευχάριστη γεμάτη ενδιαφέρουσες δραστηριότητες, νέες γευστικές εμπειρίες, διασκέδαση"
"134": "τι να πρωτοπεί κανείς; στα σίγουρα γεμίσαμε τις μπαταρίες μας και είμαστε ενθουσιασμένοι από την παραμονή μας"
"135": "πολύμορφες πολισμικές διαδρομές της ιστορίας. Έμεινα ικανοποιημένη."
"136": "εκπληκτικό φανταστικό έργο!"
"137": "θα ήθελα να περάσω περισσότερο χρόνο στο μουσείο της Ακρόπολης όπως επίσης και συνολικότερα σε όλη την πόλη. Η νυχτερινή ζωή είναι μία μαγεία"
"138": "οι ήχοι που απλώνονται από άκρη σε άκρη σε ταξιδεύουν και σε κάνουν να νιώθεις κομμάτι της ζωής αυτής της πόλης. Συνίσταται ως προορισμός για τους λάτρεις του εναλλακτικού"
"139": "θαυμάσαμε τα υπέροχα γλυπτά"
"140": "έμεινα άλαλος από το δέος μπροστά σε αυτό που αντίκρυσα"
"141": "αναριγώ μπροστά τους"
"142": "η πληθώρα των γαστρονομικών επιλογών θα σας αφήσει άφωνους"
